SN,author,year,location,country,TSI,Journal,study_design,Impact studied,impacted_entity,Impacted_system,mean_control,sd_control,ss_control,mean_invaded,sd_invaded,ss_invaded,,,,,,,,
1,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Ammonium-Nitrogen,Nitrogen,Water quality,0.032,0.051,5,0.018,0.021,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
2,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Nitrites-Nitrogen,Nitrogen,Water quality,0.011,0.006,5,0.011,0.005,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
3,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Nitrates-Nitrogen,Nitrogen,Water quality,0.64,0.09,5,0.54,0.09,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
4,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Total nitrogen,Nitrogen,Water quality,2.1,1.76,5,3.52,1.98,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
5,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Phosphate,Phosphate,Water quality,1.22,0.59,5,1.13,0.77,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
6,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Chemical oxygen demand,COD,Water quality,56.6,55.5,5,180.4,116.4,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
7,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Secchi depth (cm),Sechi depth,Water quality,143.5,94.9,5,2,0.9,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
8,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,pH,pH,Water quality,9.08,0.41,5,8.37,0.58,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
9,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Oxygen saturation (%),Oxygen saturation,Water quality,153.3,52.9,5,92,40.5,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
10,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,12.2,3.7,5,7.4,3.2,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
11,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Conductivity ,Conductivity,Water quality,49.4,0.4,5,84.8,78.3,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
12,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Temperature ,Temperature,Water quality,18.9,2,5,17.9,1.1,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
13,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Suspended solids,Suspended solid,Water quality,16.2,6.5,5,24.6,6.9,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
14,Rommens et al.,2003,Lake Shiver,Zimbabwe,1952,Archieve for Hydrobiology,Observation,Chlorophyll-a ,Chlorophyll-a,Water quality,83.7,134.8,5,468.3,338,5,"The impacts of water hyacinth (Eichhornia crassipes) in a eutrophic subtropical impoundment (Lake Chivero, Zimbabwe, Water quality",,,,,,,
15,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Temperature ,Temperature,Water quality,29,2.11,28,29,2.64,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
16,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Temperature ,Temperature,Water quality,29,2.11,28,29,2.12,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
17,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Temperature ,Temperature,Water quality,29,2.71,46,29,3.4,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
18,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Temperature ,Temperature,Water quality,29,2.71,46,28,2.71,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
19,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,3.2,2.64,28,2.9,2.12,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
20,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,2,2.11,28,2,2.12,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
21,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,5,3.39,46,3.9,2.03,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
22,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Dissolved Oxygen,Dissolved oxygen,Water quality,5.3,12.2,46,3.2,2.03,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
23,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1904,Transactions of American Fisheries Society,Observation,pH,pH,Water quality,6.9,0.53,28,6.8,0,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
24,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1905,Transactions of American Fisheries Society,Observation,pH,pH,Water quality,6.8,2.12,28,6.8,0,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
25,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1906,Transactions of American Fisheries Society,Observation,pH,pH,Water quality,7.2,0.69,46,7,0.69,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
26,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1907,Transactions of American Fisheries Society,Observation,pH,pH,Water quality,7.1,0.69,46,6.9,3.39,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
27,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1908,Transactions of American Fisheries Society,Observation,Conductivity ,Conductivity,Water quality,396,68.79,28,395,68.79,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
28,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1909,Transactions of American Fisheries Society,Observation,Conductivity ,Conductivity,Water quality,397,68.79,28,397,68.79,28,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
29,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1910,Transactions of American Fisheries Society,Observation,Conductivity ,Conductivity,Water quality,473,108.51,46,480,94.95,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
30,Troutman et al.,2011,Atchafalaya River Louisiana,USA,1903,Transactions of American Fisheries Society,Observation,Conductivity ,Conductivity,Water quality,474,108.51,46,475,115.3,46,"Patterns of habitat use among vegetation-dwelling littoral fishes in the Atchafalaya River Basin, Louisiana",,,,,,,
31,Masifwa et al.,2001,Lake Victoria,Uganda,1950,Hydrobiologia,Observation,Dissolved oxygen,Dissolved oxygen,Water quality,1.7,1.43,3,0.3,0.1,3,"The imapct of water hyacinth, Eichhornia crassipes (mart) solms on the abundance and diversity of aquatic macroinvertebrates along the shores of northern Lake Victoria, Uganda",,,,,,,
32,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved Oxygen,Dissolved oxygen,Water quality,1.49,1.25,5,0.07,0.019,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
33,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved Oxygen,Dissolved oxygen,Water quality,1.32,0.78,8,0.86,1.07,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
34,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved Oxygen,Dissolved oxygen,Water quality,4.08,0.75,4,5.1,0.42,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
35,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Dissolved Oxygen,Dissolved oxygen,Water quality,6.77,2.23,5,6,0.84,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
36,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Turbidity,Turbidity,Water quality,7.5,3.7,5,13,12.7,6,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
37,Greenfield et al.,2007,"Sacramento-Sen Joaquin River, California",USA,1904,Eustaries and Coasts,Before after,Turbidity,Turbidity,Water quality,24.3,20.2,8,133,240,4,"Mechanical shredding of water hyacinth effects on water quality in the Sacramento-San Joaquin River Delta, California",,,,,,,
